feature_set,model,true,pred,count
No voltage sensors,HistGBM,Shadowing,Shadowing,175718
Computed power + approximate measured-POA physics,LogReg,Normal,Normal,267854
Computed power + approximate measured-POA physics,LogReg,Normal,Short-Circuit,3427
Computed power + approximate measured-POA physics,LogReg,Normal,Degradation,69988
Computed power + approximate measured-POA physics,LogReg,Normal,Open-Circuit,102
Computed power + approximate measured-POA physics,LogReg,Normal,Shadowing,61473
Computed power + approximate measured-POA physics,LogReg,Short-Circuit,Normal,1
Computed power + approximate measured-POA physics,LogReg,Short-Circuit,Short-Circuit,5352
Computed power + approximate measured-POA physics,LogReg,Short-Circuit,Degradation,41
Computed power + approximate measured-POA physics,LogReg,Short-Circuit,Open-Circuit,15
Computed power + approximate measured-POA physics,LogReg,Short-Circuit,Shadowing,590
Computed power + approximate measured-POA physics,LogReg,Degradation,Normal,2376
Computed power + approximate measured-POA physics,LogReg,Degradation,Short-Circuit,2014
Computed power + approximate measured-POA physics,LogReg,Degradation,Degradation,5936
Computed power + approximate measured-POA physics,LogReg,Degradation,Open-Circuit,45
Computed power + approximate measured-POA physics,LogReg,Degradation,Shadowing,0
Computed power + approximate measured-POA physics,LogReg,Open-Circuit,Normal,0
Computed power + approximate measured-POA physics,LogReg,Open-Circuit,Short-Circuit,31
Computed power + approximate measured-POA physics,LogReg,Open-Circuit,Degradation,0
Computed power + approximate measured-POA physics,LogReg,Open-Circuit,Open-Circuit,5993
Computed power + approximate measured-POA physics,LogReg,Open-Circuit,Shadowing,0
Computed power + approximate measured-POA physics,LogReg,Shadowing,Normal,25721
Computed power + approximate measured-POA physics,LogReg,Shadowing,Short-Circuit,9206
Computed power + approximate measured-POA physics,LogReg,Shadowing,Degradation,1246
Computed power + approximate measured-POA physics,LogReg,Shadowing,Open-Circuit,687
Computed power + approximate measured-POA physics,LogReg,Shadowing,Shadowing,151613
Computed power + approximate measured-POA physics,RF,Normal,Normal,348217
Computed power + approximate measured-POA physics,RF,Normal,Short-Circuit,1451
Computed power + approximate measured-POA physics,RF,Normal,Degradation,3409
Computed power + approximate measured-POA physics,RF,Normal,Open-Circuit,0
Computed power + approximate measured-POA physics,RF,Normal,Shadowing,49767
Computed power + approximate measured-POA physics,RF,Short-Circuit,Normal,146
Computed power + approximate measured-POA physics,RF,Short-Circuit,Short-Circuit,2974
Computed power + approximate measured-POA physics,RF,Short-Circuit,Degradation,603
Computed power + approximate measured-POA physics,RF,Short-Circuit,Open-Circuit,8
Computed power + approximate measured-POA physics,RF,Short-Circuit,Shadowing,2268
Computed power + approximate measured-POA physics,RF,Degradation,Normal,3307
Computed power + approximate measured-POA physics,RF,Degradation,Short-Circuit,145
Computed power + approximate measured-POA physics,RF,Degradation,Degradation,5941
Computed power + approximate measured-POA physics,RF,Degradation,Open-Circuit,14
Computed power + approximate measured-POA physics,RF,Degradation,Shadowing,964
Computed power + approximate measured-POA physics,RF,Open-Circuit,Normal,0
Computed power + approximate measured-POA physics,RF,Open-Circuit,Short-Circuit,188
Computed power + approximate measured-POA physics,RF,Open-Circuit,Degradation,601
Computed power + approximate measured-POA physics,RF,Open-Circuit,Open-Circuit,4088
Computed power + approximate measured-POA physics,RF,Open-Circuit,Shadowing,1147
Computed power + approximate measured-POA physics,RF,Shadowing,Normal,17240
Computed power + approximate measured-POA physics,RF,Shadowing,Short-Circuit,120
Computed power + approximate measured-POA physics,RF,Shadowing,Degradation,88
Computed power + approximate measured-POA physics,RF,Shadowing,Open-Circuit,28
Computed power + approximate measured-POA physics,RF,Shadowing,Shadowing,170997
Computed power + approximate measured-POA physics,HistGBM,Normal,Normal,343985
Computed power + approximate measured-POA physics,HistGBM,Normal,Short-Circuit,447
Computed power + approximate measured-POA physics,HistGBM,Normal,Degradation,13255
Computed power + approximate measured-POA physics,HistGBM,Normal,Open-Circuit,1332
Computed power + approximate measured-POA physics,HistGBM,Normal,Shadowing,43825
Computed power + approximate measured-POA physics,HistGBM,Short-Circuit,Normal,286
Computed power + approximate measured-POA physics,HistGBM,Short-Circuit,Short-Circuit,2714
Computed power + approximate measured-POA physics,HistGBM,Short-Circuit,Degradation,32
Computed power + approximate measured-POA physics,HistGBM,Short-Circuit,Open-Circuit,12
Computed power + approximate measured-POA physics,HistGBM,Short-Circuit,Shadowing,2955
Computed power + approximate measured-POA physics,HistGBM,Degradation,Normal,2007
Computed power + approximate measured-POA physics,HistGBM,Degradation,Short-Circuit,241
Computed power + approximate measured-POA physics,HistGBM,Degradation,Degradation,5288
Computed power + approximate measured-POA physics,HistGBM,Degradation,Open-Circuit,14
Computed power + approximate measured-POA physics,HistGBM,Degradation,Shadowing,2821
Computed power + approximate measured-POA physics,HistGBM,Open-Circuit,Normal,0
Computed power + approximate measured-POA physics,HistGBM,Open-Circuit,Short-Circuit,1110
Computed power + approximate measured-POA physics,HistGBM,Open-Circuit,Degradation,182
Computed power + approximate measured-POA physics,HistGBM,Open-Circuit,Open-Circuit,3977
Computed power + approximate measured-POA physics,HistGBM,Open-Circuit,Shadowing,755
Computed power + approximate measured-POA physics,HistGBM,Shadowing,Normal,20988
Computed power + approximate measured-POA physics,HistGBM,Shadowing,Short-Circuit,295
Computed power + approximate measured-POA physics,HistGBM,Shadowing,Degradation,723
Computed power + approximate measured-POA physics,HistGBM,Shadowing,Open-Circuit,2460
Computed power + approximate measured-POA physics,HistGBM,Shadowing,Shadowing,164007
Electrical (full),MLP,Normal,Normal,400265
Electrical (full),MLP,Normal,Short-Circuit,0
Electrical (full),MLP,Normal,Degradation,0
Electrical (full),MLP,Normal,Open-Circuit,0
Electrical (full),MLP,Normal,Shadowing,2579
Electrical (full),MLP,Short-Circuit,Normal,0
Electrical (full),MLP,Short-Circuit,Short-Circuit,5917
Electrical (full),MLP,Short-Circuit,Degradation,17
Electrical (full),MLP,Short-Circuit,Open-Circuit,0
Electrical (full),MLP,Short-Circuit,Shadowing,65
Electrical (full),MLP,Degradation,Normal,0
Electrical (full),MLP,Degradation,Short-Circuit,6
Electrical (full),MLP,Degradation,Degradation,9693
Electrical (full),MLP,Degradation,Open-Circuit,22
Electrical (full),MLP,Degradation,Shadowing,650
Electrical (full),MLP,Open-Circuit,Normal,0
Electrical (full),MLP,Open-Circuit,Short-Circuit,1
Electrical (full),MLP,Open-Circuit,Degradation,5
Electrical (full),MLP,Open-Circuit,Open-Circuit,6018
Electrical (full),MLP,Open-Circuit,Shadowing,0
Electrical (full),MLP,Shadowing,Normal,1802
Electrical (full),MLP,Shadowing,Short-Circuit,81
Electrical (full),MLP,Shadowing,Degradation,66
