,mean_P_Normal,mean_P_Short-Circuit,mean_P_Degradation,mean_P_Open-Circuit,mean_P_Shadowing,pred_class,binary_screened_non_normal,ensemble_anomalous_score_uncalibrated,fold1_pred,fold2_pred,fold3_pred,fold4_pred,fold5_pred
2023-02-23 17:00:00+08:00,4.158663785255328e-06,5.98583640281012e-06,1.2650750222517644e-09,3.386181840845506e-14,0.9999898542347031,Shadowing,1,0.9999958413362148,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-23 17:15:00+08:00,0.856318993247173,1.3206570519732124e-11,8.7205469226328e-10,6.390288510934545e-08,0.1436809419646807,Normal,0,0.14368100675282702,Normal,Normal,Normal,Normal,Normal
2023-02-23 17:30:00+08:00,0.8612825637745258,2.2765286072670365e-11,7.226950807492185e-10,1.0102981357832136e-07,0.13871733445020037,Normal,0,0.13871743622547417,Normal,Normal,Normal,Normal,Normal
2023-02-23 17:45:00+08:00,0.9721228171537408,1.9734004205180248e-11,4.178011785348879e-10,8.089852181386855e-08,0.02787710151020207,Normal,0,0.027877182846259174,Normal,Normal,Normal,Normal,Normal
2023-02-24 07:30:00+08:00,0.6478369862905823,2.7120367808035912e-12,1.0681488358527677e-09,3.960212506134054e-08,0.3521629730364318,Normal,0,0.3521630137094177,Normal,Normal,Normal,Shadowing,Normal
2023-02-24 07:45:00+08:00,0.12459521448528998,4.752602499892574e-13,1.458024441712918e-09,4.234718729216569e-09,0.8754047798214917,Shadowing,1,0.87540478551471,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 08:00:00+08:00,0.02725906403640315,1.2711244596652037e-13,1.3683395898860038e-09,4.054398592975866e-10,0.9727409341896902,Shadowing,1,0.9727409359635969,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 08:15:00+08:00,0.011697678803634613,4.573916437670452e-14,7.440640416234404e-10,4.151694101831962e-10,0.9883023200370863,Shadowing,1,0.9883023211963654,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 08:30:00+08:00,0.07499898400263638,4.838849651543131e-13,4.569098894526251e-09,4.6329067285829374e-09,0.9250010067948742,Shadowing,1,0.9250010159973636,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 08:45:00+08:00,0.587626460652709,3.5650053193920274e-12,4.193727128738616e-08,9.265023640568492e-09,0.41237348814143104,Normal,0,0.41237353934729104,Shadowing,Shadowing,Normal,Normal,Normal
2023-02-24 09:00:00+08:00,0.020179782412197218,7.696859115307966e-09,1.358931005254408e-08,6.993552388825668e-09,0.9798201893080813,Shadowing,1,0.9798202175878028,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 09:15:00+08:00,0.021159086461521974,1.0697493897512454e-07,5.570166625407058e-08,2.6184097868130625e-09,0.9788407482434629,Shadowing,1,0.978840913538478,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 09:30:00+08:00,0.005064088872051734,3.154932934697092e-07,6.989224648599815e-07,3.671135988022965e-10,0.9949348963450764,Shadowing,1,0.9949359111279482,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 09:45:00+08:00,0.000356224499487631,1.3655415620349703e-06,2.533636755455304e-06,6.165480544327432e-11,0.9996398762605401,Shadowing,1,0.9996437755005124,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 10:00:00+08:00,8.626804268726201e-06,1.5226832423389052e-05,6.997688790087291e-06,4.617865072358144e-12,0.9999691486698998,Shadowing,1,0.9999913731957313,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 10:15:00+08:00,9.214539873612375e-07,0.002069588832042109,8.762862748579743e-05,4.914582233818517e-13,0.9978418610859933,Shadowing,1,0.9999990785460127,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 10:30:00+08:00,4.63299624715886e-06,0.016795669519635476,0.0019404319826980486,2.4082336463743065e-09,0.9812592630931858,Shadowing,1,0.9999953670037528,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 10:45:00+08:00,0.00010548777950663253,0.14247714329783956,0.030242805795057913,1.1603444897262444e-07,0.827174447093147,Shadowing,1,0.9998945122204934,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 11:00:00+08:00,0.0008531351911136758,0.0964697953367315,0.2696000790283946,2.583137334897891e-08,0.6330769646123868,Shadowing,1,0.9991468648088864,Shadowing,Shadowing,Shadowing,Shadowing,Shadowing
2023-02-24 11:15:00+08:00,0.0006577439466052129,0.05824252021032154,0.5993386972169473,7.681099956781492e-09,0.34176103094502613,Degradation,1,0.9993422560533948,Degradation,Degradation,Degradation,Degradation,Shadowing
2023-02-24 11:30:00+08:00,0.00030281141826834357,0.042046561191018184,0.6900751606694117,1.7986457119140785e-09,0.26757546492265605,Degradation,1,0.9996971885817316,Degradation,Degradation,Shadowing,Degradation,Shadowing
2023-02-24 11:45:00+08:00,0.00015413865281040614,0.05947774400504251,0.656928626367257,1.5838111629835837e-09,0.28343948939107905,Degradation,1,0.9998458613471896,Degradation,Degradation,Shadowing,Degradation,Shadowing
2023-02-24 12:00:00+08:00,0.00012477274564833105,0.05255631833558474,0.6502954342272194,5.224074573270009e-09,0.297023469467473,Degradation,1,0.9998752272543516,Degradation,Degradation,Shadowing,Degradation,Shadowing
2023-02-24 12:15:00+08:00,0.0001346734312324827,0.071151175343063,0.6425487983386342,4.536390802869315e-07,0.28616489924799005,Degradation,1,0.9998653265687675,Degradation,Degradation,Shadowing,Degradation,Shadowing
2023-02-24 12:30:00+08:00,0.00012181735737241625,0.08025516109684443,0.6494689529990192,1.1211876091979417e-06,0.27015294735915474,Degradation,1,0.9998781826426276,Degradation,Degradation,Shadowing,Degradation,Shadowing
2023-02-24 12:45:00+08:00,0.00015163623165867968,0.09986484926625647,0.6767176301691299,1.4637864547360304e-05,0.2232512464684075,Degradation,1,0.9998483637683413,Degradation,Degradation,Shadowing,Degradation,Shadowing
2023-02-24 13:00:00+08:00,0.0001782557176065956,0.12619625301371581,0.6991905106705659,0.00017440370057349107,0.1742605768975381,Degradation,1,0.9998217442823935,Degradation,Degradation,Shadowing,Degradation,Degradation
